"user_input","retrieved_contexts","response","reference"
"(주)세토피아의 현재 대표이사는 누구인가?",,,"(주)세토피아의 현재 대표이사는 서상철입니다."
"(주)세토피아의 2022년 8월 1일 이전 상호명은 무엇이었나?",,,"(주)마이더스AI였습니다."
"(주)세토피아가 (주)제이슨앤컴퍼니를 흡수합병한 합병기일은 언제인가?",,,"2023년 1월 2일입니다."
"세토피아 철강사업의 주력 제품과 국내 시장 점유율은 어떻게 되는가?",,,"주력 제품은 STS 201이며, 국내 시장점유율 약 30~40%로 1위를 차지하고 있습니다."
"세토피아가 진출했던 유통사업은 어떤 브랜드 제품의 국내 총판 독점 계약이었나?",,,"글로벌 1위 전자담배브랜드 'ELFBAR(엘프바)' 제품의 국내 총판 독점 계약이었습니다."
"제11기(당반기) 감사보고서의 감사의견은 무엇이며, 감사인은 누구인가?",,,"감사인은 삼일회계법인이며, 감사의견은 '의견거절'입니다."
"2025년 1월 20일 (주)에스에이코퍼레이션으로부터의 유형자산(토지 및 건물) 양수 계약은 어떻게 되었는가?",,,"2025년 1월 20일부로 해당 계약을 해지(철회)하였습니다."
"2025년 2월 12일에 완료된 무상감자의 비율은 어떻게 되는가?",,,"5:1 무상감자를 완료하였습니다."
"2025년 6월 30일 기준, 세토피아의 최대주주는 누구이며 지분율은 몇 %인가?",,,"최대주주는 (주)에스에이코퍼레이션이며, 지분율은 6.89%입니다."
"2025년 3월 12일 증권선물위원회가 세토피아에 부과한 과징금 금액은 얼마이며, 주된 사유는 무엇인가?",,,"과징금 2.7억원이 부과되었으며, 주된 사유는 금융자산·부채 과대계상(2019년 8,000백만원)입니다."
"(주)제이슨앤컴퍼니 합병 이후 세토피아의 주된 사업은 무엇으로 변경되었는가?",,,"'소프트웨어 자문 개발 및 공급업'에서 '1차 철강 제조 및 도매업'으로 변경되었습니다."
"세토피아의 전자담배 유통사업의 2024년 이후 현황과 그 이유는 무엇인가?",,,"2024년 내 수입 물량을 전량 판매 완료하였으나, 시장 트렌드 변화와 수익성 저조로 인해 추가 수입은 하지 않고 있으며 향후 계획도 없습니다."
"세토피아의 희토류 사업 계획은 어떻게 수정되었는가?",,,"당사(세토피아)는 종속회사의 지배기업 지위로만 남고, 종속회사인 (주)지씨엠이 해당 사업을 독자적으로 운영할 예정이며, 당사가 직접적으로 사업을 진행하지 않을 계획입니다."
"세토피아의 미국 종속회사 MIM USA, INC.가 영위하던 카나비스 사업의 현재 상태는 어떠한가?",,,"2025년 4월 25일, 종속기업인 Melrose Facility Management, LLC의 지분을 전량 매각하였으며, 보고서 제출일 현재 해당 사업을 진행하지 않고 있습니다."
"2023년 1월 27일 임시주총에서 사업목적으로 추가했던 '폐기물 사업'과 '애견 사업'을 추진하지 않은 이유는 무엇인가?",,,"폐기물 사업은 인허가 및 규제 등 사업성 검토 결과 부적합하다고 판단했고, 애견 사업은 다른 신규사업이 먼저 진행되어 잠정 보류되었습니다."
"제9기, 제10기, 제11기(당반기) 3개 기간 연속 감사의견은 무엇이었으며, 각 기간의 감사인은 누구인가?",,,"제9기(이촌회계법인, 의견거절), 제10기(이촌회계법인, 의견거절), 제11기 당반기(삼일회계법인, 의견거절)로 3회 연속 '의견거절'을 받았습니다."
"제11기 당반기 감사의견거절의 두 가지 주요 사유는 무엇인가?",,,"(1)계속기업의 불확실성(당기순손실 및 누적결손금, 유동자산 대비 유동부채 과다)과 (2)주요 검토절차의 제약입니다."
"(주)제이슨앤컴퍼니 인수 효과로 2023년 철강 사업 매출 예측치와 실제 실적은 각각 얼마인가?",,,"2023년 매출 예측치는 107,078백만원이었으나, 실제 실적은 98,081백만원이었습니다."
"2024년 철강 사업 실적이 예측치에 미달한 주된 이유는 무엇인가?",,,"2024년 4월 4일 감사의견 거절로 인한 주권매매거래정지가 발생하여, 금융기관과의 거래 및 여신 한도 감소 등으로 제품 구매 등이 감소했기 때문입니다."
"제11기 반기말(2025.06.30) 기준 세토피아의 연결재무제표상 누적결손금은 얼마이며, 계속기업으로서의 존속능력에 대한 평가는 어떠한가?",,,"누적결손금은 139,813백만원이며, 계속기업으로서의 존속능력에 유의적 의문을 제기할 만한 중요한 불확실성이 존재함을 나타냅니다."
"2025년 3월 31일, (주)케이씨엠인더스트리와 (주)앤에스월드의 주식 양수도 계약을 합의 해제할 때, 대금으로 지급했던 제18회, 제20회 전환사채는 어떻게 처리되었는가?",,,"취득했던 주식 전부를 반환하고, 대금으로 지급했던 사채(18회 20억원, 20회 20억원) 전액을 반환받았습니다."
"2025년 6월 30일 기준, 세토피아의 연결 재무상태표상 유동자산과 유동부채는 각각 얼마인가?",,,"유동자산은 9,071,420,676원, 유동부채는 17,387,059,424원입니다."
"2025년 1월 27일 임시주주총회에서 가결된 안건은 무엇인가?",,,"이사 선임의 건 (사내이사 남윤영, 사외이사 남상신, 사외이사 조찬휘) 및 무상감자의 건이 원안대로 승인되었습니다."
"2025년 6월 30일 기준, 세토피아의 소액주주 수와 총 발행주식 대비 지분율은 어떻게 되는가?",,,"소액주주는 17,952명이며, 총 발행주식의 76.89%를 보유하고 있습니다."
"2024년 4월 4일부터 세토피아의 주권매매거래가 정지된 사유는 무엇인가?",,,"2023년(제10기) 감사보고서의 감사의견이 '의견거절'(감사범위 제한 및 계속기업 존속능력 불확실성)이었기 때문입니다."
"세토피아의 철강사업에서 다루는 '스테인리스강'이란 무엇인가?",,,"철(Fe)에 상당량의 크롬(보통 12%이상)을 넣어 녹이 잘 슬지 않도록 만들어진 합금강으로, 필요에 따라 탄소(C), 니켈(Ni) 등을 소량 포함합니다."
"희토류 사업에서 '네오디뮴 영구자석(NdFeB)'은 무엇이며 왜 중요한가?",,,"1983년에 개발된 현존하는 자석 중 가장 강한 자력을 지닌 자석으로, 전기차 구동모터, 풍력발전기 터빈 등 첨단산업의 핵심 재료로 사용되기 때문에 중요합니다."
"2025년 6월 30일 기준 세토피아의 연결대상 종속회사는 몇 개이며, 그 이름은 무엇인가?",,,"총 4개사이며, (주)아이홉씨비디, MIM USA, INC., (주)지씨엠, GCM VINA입니다."
"(주)제이슨앤컴퍼니 합병 시 합병비율을 1:0으로 산정한 근거는 무엇인가?",,,"합병법인인 (주)세토피아가 피합병법인인 (주)제이슨앤컴퍼니의 주식 100%를 이미 소유하고 있었으며, 신주를 발행하지 않는 무증자 합병으로 진행했기 때문입니다."
"2025년 6월 30일 기준, (주)세토피아가 보유한 3개의 특허권 명칭은 무엇인가?",,,"'프로세스 행위 예측 기법을 이용한 비정형 먹성코드 탐지방법 및 그 시스템', '비정상 트래픽 탐지 장치 및 방법', '악성 코드에 의해 삽입된 동적 연결 라이브러리 검출 장치 및 방법'입니다."
